 | 6 | 101 | 
 | 35 | 894 | 
 | 37 | 859 | 
 | 40 | 942 | 
 | 41 | 467 | 
 | 84 | 954 | 
 | 118 | 82 | 
 | 141 | 711 | 
 | 169 | 724 | 
 | 190 | 842 | 
 | 253 | 868 | 
 | 264 | 648 | 
 | 281 | 827 | 
 | 288 | 106 | 
 | 292 | 382 | 
 | 316 | 35 | 
 | 322 | 333 | 
 | 334 | 500 | 
 | 370 | 350 | 
 | 391 | 604 | 
 | 393 | 548 | 
 | 421 | 716 | 
 | 446 | 805 | 
 | 447 | 726 | 
 | 478 | 358 | 
 | 529 | 778 | 
 | 537 | 538 | 
 | 547 | 644 | 
 | 626 | 323 | 
 | 629 | 623 | 
 | 662 | 757 | 
 | 667 | 299 | 
 | 673 | 664 | 
 | 703 | 811 | 
 | 705 | 145 | 
 | 718 | 895 | 
 | 723 | 741 | 
 | 756 | 840 | 
 | 771 | 538 | 
 | 827 | 436 | 
 | 869 | 912 | 
 | 890 | 729 | 
 | 902 | 153 | 
 | 929 | 541 | 
 | 931 | 308 | 
 | 944 | 439 | 
 | 961 | 491 | 
 | 962 | 464 | 
 | 966 | 376 | 
 | 995 | 942 | 
